en,﻿abandon,v,,"gbaghalü[HLH];gbaghara[HLH];
gbagharü [HLH]; ghaa [LH]; ghalü [LH];
ghara [LH]; haa [LH]; hapü [HL]; ralü [LH]
  (önïca); rapü [HL] (önïca).",echeruo
en,abate,v,,"belata [LHH]; benata [LHH]; gbee
  [LH] (Ohafia).",echeruo
en,abatement,n,,"mbelata [HLHH]; mbenata
  [HLHH].",echeruo
en,ABC,n,,abd [HHH].,echeruo
en,abdomen,n,,abü [HH]; afö [HH]; ere [HH].,echeruo
en,abduct,v,,kere [HH].,echeruo
en,abduction,n,,nkere [HHH].,echeruo
en,abhor,v,,kpöö asï [HH HL] (önïca).,echeruo
en,ability,n,,ike [HH]; oko [LH].,echeruo
en,ablaze (set),v,,sunye ökü [LH HH].,echeruo
en,able (be),v,,nwee [HH].,echeruo
en,able to (be),v,,püö [LH].,echeruo
en,able to act,v,,gbalie [HHH].,echeruo
en,abomination,n,,"alü [HH] (önïca); arü [HH]
  (Owere); nsö [HH].",echeruo
en,abort,v,,kee ime [HH HL]; kwee ime [HH HL].,echeruo
en,abortion (procure),v,,mebie ime [HLH HH].,echeruo
en,abound,v,,"hie nne [HH HH] (Owere); rie nne
  [HH HH] (önïca); zie nne [HH HH].",echeruo
en,about,adv,,"amala [LLL]; banyere [LHH]; gbasa
  [HH]; maka [LL]; n'ifi [HH]; n'ihi [HH].",echeruo
en,above,adv,,n'elu [HL]; n'enu [HL].,echeruo
en,abridge,v,,belata [LHH]; benata [LHH].,echeruo
en,abscess,n,,acïri iba [HHH HH].,echeruo
en,abscond,v,,gbaaösö[HHHH];gbafuo[HLH].,echeruo
en,absent (be),v,,büa [HH];büö [HH]; vüö [HH].,echeruo
en,abstain from,v,,"büa [HH]; büö [HH]; vüö [HH]
  zee [LH].",echeruo
en,abstinence,n,,abübü [HHH].,echeruo
en,abuse,n,,"akwükwa [LLL]; ikwu [LL]; rnkparf
  [HHH]; nkötö [HHL].",echeruo
en,abuse,v,,"gbaa akwükwa [HH LLL] (Ngwa);
katöö [HHH]; köö önü [HH HH]; kötöö
[HLH]; kpöluo [HLH]; kpöö iyi [HH HL];
  kwue ikwu [LH LL]; kwuo ikwu [LH LL], acceptkwe [H]; nabata [HLH]; nalü [LH];
  nara [LH].",echeruo
en,accident,n,,"amaghïama[HHHLH];mberede
[LLLH]; ödaci [HLH]; ödakö [HLH]; öghïï

[LHH]; öghö [LH]; öghöm [LHH]; üghö
  [LH].",echeruo
en,accommodate,v,,he [LH].,echeruo
en,accompany,v,,"duga [LH]; duje [L-H]; so [H];
  soro [LH]; yïa [LH]; yïköö [LHH] (Onïca).",echeruo
en,accord,n,,otu obi [HL HL].,echeruo
en,account,n,,nköwa [HHH].,echeruo
en,account for,v,,köwaa [HHH].,echeruo
